lon,lat,elev_m,distance_to_next_m,segment_id,segment_type,speed_limit_mph
-3.171658,55.956759,81.2,9.149335659057579,3,secondary,40
-3.171552,55.956816,81.2,13.9536809561986,3,secondary,40
-3.171375,55.956893,81.2,14.98483365689618,3,secondary,40
-3.171175,55.956968,81.2,13.58334619812633,3,secondary,40
-3.170982,55.957025,81.2,8.700071186475117,3,secondary,40
-3.170857,55.95706,81.2,6.500118151981316,3,secondary,40
-3.170761,55.957083,81.2,11.82415835476891,3,secondary,40
-3.170585,55.957123,81.2,14.272214186996777,3,secondary,40
-3.170366,55.957161,81.2,20.86438488451147,3,secondary,40
-3.170045,55.957215,81.2,4.705859390018587,3,secondary,40
-3.169972,55.957226,81.2,12.108966632193322,3,secondary,40
-3.169785,55.957256,81.2,9.471946175925826,3,secondary,40
-3.169639,55.95728,81.2,5.703208640742268,3,secondary,40
-3.169559,55.957305,81.2,4.188094398032722,3,secondary,40
-3.169514,55.957333,81.2,3.1936362128073386,4,secondary,40
-3.169479,55.957354,81.2,7.305884857804367,4,secondary,40
-3.169363,55.957344,81.2,9.10520263054242,4,secondary,40
-3.169217,55.957339,81.2,6.311586966754793,4,secondary,40
-3.169116,55.957334,83.97999999999999,24.402245679734918,4,secondary,40
-3.168724,55.957336,86.75999999999999,33.91481660494809,4,secondary,40
-3.168181,55.957311,89.53999999999999,3.144024282596097,4,secondary,40
-3.168131,55.957307,92.32000000000001,39.60846529549561,4,secondary,40
-3.167501,55.957257,95.1,14.48405315602456,4,secondary,40
-3.167273,55.957231,95.1,3.2440059055055825,4,secondary,40
-3.167222,55.957225,95.1,0.43573752903950247,4,secondary,40
-3.167215,55.957225,95.1,4.9574232759687815,4,secondary,40
-3.167137,55.957216,95.1,13.230526268139513,4,secondary,40
-3.16693,55.957189,95.1,29.87626938922228,4,secondary,40
-3.166463,55.957127,95.1,10.205008578283683,4,secondary,40
-3.166303,55.957107,95.1,12.877801083388729,4,secondary,40
-3.166101,55.957082,95.1,9.235532284203165,4,secondary,40
-3.165957,55.957062,95.1,13.913731787847391,4,secondary,40
-3.16574,55.957032,95.1,13.66909316257762,4,secondary,40
-3.165525,55.957007,95.1,26.618265113298555,4,secondary,40
-3.165108,55.956954,95.1,11.27611032467529,4,secondary,40
-3.164932,55.95693,95.1,13.07484475562058,4,secondary,40
-3.164728,55.956902,95.1,15.736051887945345,4,secondary,40
-3.164484,55.956865,95.1,63.63699889808716,4,secondary,40
-3.163496,55.956718,95.1,3.86669166364467,4,secondary,40
-3.163436,55.956709,95.1,17.534781687752346,4,secondary,40
-3.163164,55.956668,95.1,4.196201675318199,4,secondary,40
-3.163099,55.956658,95.1,54.91094617176049,4,secondary,40
-3.162248,55.956528,95.1,18.913209168396225,4,secondary,40
-3.161956,55.956481,95.1,41.38451126849677,4,secondary,40
-3.161322,55.956369,95.1,41.72317249554883,5,secondary,40
-3.160684,55.956254,95.1,6.3272037533834204,5,secondary,40
-3.160587,55.956237,95.1,41.47766697067346,5,secondary,40
-3.159952,55.956124,95.1,8.73348128385704,5,secondary,40
-3.159819,55.956099,95.1,5.48515550153821,5,secondary,40
-3.159734,55.956086,95.1,4.768628407877019,5,secondary,40
-3.159661,55.956073,95.1,8.454174688634913,5,secondary,40
-3.159531,55.956051,95.1,12.319299093278266,5,secondary,40
-3.15934,55.956022,95.1,12.773051151043518,5,secondary,40
-3.159141,55.955994,95.1,10.766208509397899,5,secondary,40
-3.158973,55.955971,95.1,8.346600561208422,5,secondary,40
-3.158842,55.955955,95.1,33.1717950645873,5,secondary,40
-3.158324,55.955885,95.1,15.49029914971416,5,secondary,40
-3.158081,55.955855,95.1,34.430929113379214,5,secondary,40
-3.157541,55.955788,95.1,11.155505527845389,5,secondary,40
-3.157367,55.955764,95.1,12.064226557048869,5,secondary,40
-3.157178,55.95574,95.1,12.538966317788752,5,secondary,40
-3.156982,55.955714,95.1,47.83214509507418,5,secondary,40
-3.156233,55.955618,95.1,10.766307181632556,5,secondary,40
-3.156065,55.955595,95.1,19.015989614204866,5,secondary,40
-3.155768,55.955555,95.1,8.371092773449698,5,secondary,40
-3.155637,55.955538,95.1,7.532594224319862,5,secondary,40
-3.155519,55.955523,95.1,23.264845992458252,5,secondary,40
-3.155157,55.955471,95.1,13.631990551815338,5,secondary,40
-3.15495,55.955431,95.1,4.981280284277837,5,secondary,40
-3.154872,55.955421,95.1,30.776879039366897,5,secondary,40
-3.154391,55.955357,95.1,40.64380672079651,5,secondary,40
-3.153756,55.955272,95.1,22.276422967235604,5,secondary,40
-3.153405,55.955233,95.1,24.827172063251638,5,secondary,40
-3.153014,55.955189,95.1,14.890883840562118,5,secondary,40
-3.152779,55.955164,95.1,12.96239208095598,6,secondary,40
-3.152573,55.955147,95.1,14.210515182877192,6,secondary,40
-3.152347,55.955129,95.1,33.625663080122216,6,secondary,40
-3.151809,55.955102,95.1,9.515023368665606,6,secondary,40
-3.151657,55.955093,95.1,21.134125053401192,6,secondary,40
-3.15132,55.95507,95.1,16.766622337458756,6,secondary,40
-3.151052,55.955055,95.1,19.835038254140777,6,secondary,40
-3.150735,55.955037,95.1,8.946334866671553,6,secondary,40
-3.150592,55.955029,95.1,25.45429250966288,6,secondary,40
-3.150185,55.955007,95.1,7.3667210991384104,6,secondary,40
-3.150067,55.955002,95.1,8.09960574550643,6,secondary,40
-3.149937,55.954999,95.1,10.363072013199716,6,secondary,40
-3.149771,55.954992,95.1,10.4606684637445,6,secondary,40
-3.149603,55.95499,95.1,6.851309480402608,6,secondary,40
-3.149493,55.954992,95.1,4.114633625073751,6,secondary,40
-3.149427,55.954994,95.1,4.674178808418611,6,secondary,40
