lon,lat,elev_m,distance_to_next_m,cumulative_distance_km,speed_limit_mph
-3.197622,55.946885,76.0,37.43832209209376,1.3089094227321632,20.0
-3.198129,55.946704,76.0,39.55846136909854,1.3484678841012616,20.0
-3.198677,55.946524,85.2,44.21459725140577,1.3926824813526675,20.0
-3.199381,55.946472,85.3,21.739607562070766,1.4144220889147383,20.0
-3.199719,55.946423,85.3,44.01165740050447,1.4584337463152426,20.0
-3.200386,55.946292,85.1,42.347596595874364,1.500781342911117,20.0
-3.201004,55.946133,82.0,53.59972155938908,1.554381064470506,20.0
-3.20173,55.945874,81.0,9.374091268743808,1.56375515573925,20.0
-3.20187,55.945843,81.0,15.847328363484479,1.5796024841027343,20.0
-3.202124,55.945834,81.0,33.867339365437346,1.6134698234681717,20.0
-3.202589,55.945676,80.0,49.67222402605989,1.6631420474942316,20.0
-3.203275,55.945448,80.0,50.34469443875697,1.7134867419329884,20.0
-3.203965,55.945212,79.0,22.120531612603596,1.735607273545592,20.0
-3.204261,55.945102,79.0,59.64206829897226,1.7952493418445643,20.0
-3.205055,55.944802,78.0,42.697429050318085,1.8379467708948822,20.0
-3.205617,55.944582,78.0,36.47351629291157,1.874420287187794,20.0
-3.206088,55.944387,78.0,30.108176969061304,1.9045284641568554,20.0
-3.206446,55.944205,78.0,49.76625673717974,1.9542947208940349,20.0
-3.207019,55.943893,76.0,17.784104754265606,1.9720788256483006,20.0
-3.207228,55.943784,76.0,16.450107949867107,1.9885289335981677,20.0
-3.207429,55.943688,76.0,32.44465834139238,2.02097359193956,20.0
-3.207855,55.94352,76.0,20.795096576163008,2.041768688515723,20.0
-3.208156,55.943439,75.8,28.002968098438348,2.069771656614161,20.0
-3.208583,55.94336,75.0,14.048573646791956,2.0838202302609528,20.0
-3.208797,55.94332,74.0,39.91569606931207,2.1237359263302653,20.0
-3.209403,55.943203,72.8,33.70256773850087,2.157438494068766,20.0
-3.2099,55.943083,72.0,68.85317121982821,2.2262916652885942,20.0
-3.210917,55.94284,71.0,133.16173896434793,2.359453404252942,20.0
-3.212869,55.942351,76.0,38.80109496007803,2.3982544992130204,20.0
-3.213429,55.942198,74.9,60.4823382991924,2.4587368375122125,20.0
-3.214245,55.941903,72.0,51.84449184825056,2.510581329360463,20.0
-3.214925,55.941634,74.0,61.82774197094113,2.572409071331404,20.0
-3.215728,55.941307,73.0,51.86036080788452,2.6242694321392888,20.0
-3.216394,55.941027,73.0,41.714598993589384,2.665984031132878,20.0
-3.21693,55.940802,77.0,35.10130855156599,2.701085339684444,20.0
-3.217388,55.940618,77.0,23.156125191574347,2.7242414648760187,20.0
-3.217707,55.940511,77.0,36.029941408510325,2.760271406284529,20.0
-3.218217,55.940358,77.0,7.557623565913492,2.7678290298504424,20.0
-3.218325,55.940327,77.0,71.82166433270969,2.839650694183152,20.0
-3.219366,55.940049,73.0,13.619008241955198,2.8532697024251075,20.0
-3.219564,55.939997,81.0,39.044154707959336,2.892313857133067,20.0
-3.220135,55.939852,78.9,8.204944014867857,2.900518801147935,20.0
-3.220264,55.939837,78.0,8.611438904462894,2.9091302400523977,20.0
-3.2204,55.939823,78.0,22.11056842182477,2.9312408084742225,20.0
-3.220755,55.93982,78.0,40.025976738728616,2.971266785212951,20.0
-3.221397,55.939837,74.8,21.001502671226906,2.992268287884178,20.0
-3.221734,55.93983,71.0,26.551573890475737,3.0188198617746536,20.0
-3.222159,55.939811,71.0,12.796688007651067,3.0316165497823047,20.0
-3.222351,55.93977,71.0,13.73774162568435,3.045354291407989,20.0
-3.222516,55.939688,68.0,87.54819679482544,3.1329024882028143,20.0
-3.223407,55.939079,65.0,56.050962650217734,3.188953450853032,20.0
-3.224306,55.939055,62.8,55.424719038474656,3.2443781698915064,20.0
-3.225192,55.939102,61.0,49.78875176823711,3.2941669216597433,20.0
-3.225983,55.939167,57.1,18.012613150188518,3.312179534809932,20.0
-3.226265,55.939203,56.0,19.46451223071814,3.3316440470406503,20.0
-3.226553,55.939135,58.4,72.29724573415803,3.403941292774808,20.0
-3.227668,55.938954,58.0,55.09876508534482,3.459040057860153,20.0
-3.228514,55.938809,56.0,20.0341280555659,3.4790741859157186,20.0
-3.228822,55.938757,56.0,34.818762578763476,3.5138929484944823,20.0
-3.229353,55.938659,55.0,39.03157392934336,3.5529245224238255,20.0
-3.229933,55.938526,55.0,13.876082156455277,3.5668006045802807,20.0
-3.230133,55.938471,54.0,70.75200640220996,3.6375526109824907,20.0
-3.231091,55.938129,56.0,31.39096588546827,3.6689435768679592,20.0
-3.231518,55.937979,55.7,61.08166731801983,3.730025244185979,20.0
-3.232444,55.937798,55.0,7.781272257686162,3.7378065164436647,20.0
-3.232562,55.937775,54.0,40.39427826096815,3.778200794704633,20.0
-3.233169,55.937647,54.0,28.97017718707435,3.8071709718917077,20.0
-3.2336,55.937549,53.0,41.29650410296939,3.848467475994677,20.0
-3.234205,55.937397,52.0,68.51369324538196,3.916981169240059,20.0
-3.235227,55.937169,51.0,108.50707675545371,4.025488245995513,20.0
-3.236886,55.936871,49.0,35.200794721348856,4.060689040716862,20.0
-3.237438,55.936803,49.0,32.68553414467947,4.093374574861541,20.0
-3.237951,55.936741,48.0,77.16447720450282,4.170539052066044,20.0
-3.239163,55.936597,49.0,40.09811150802244,4.2106371635740665,20.0
-3.23978,55.936494,49.0,49.67991416315163,4.260317077737218,20.0
-3.240532,55.936345,49.0,41.18893988772625,4.301506017624944,20.0
-3.24111,55.936165,49.0,14.144609649829327,4.315650627274774,20.0
-3.241288,55.936086,49.0,14.687958263676192,4.33033858553845,20.0
-3.241467,55.936,49.0,62.81853615642844,4.393157121694879,20.0
-3.242159,55.935589,48.0,8.046411396364178,4.401203533091243,20.0
-3.242245,55.935535,48.0,93.24559327030926,4.494449126361553,20.0
-3.243255,55.934916,48.0,14.891260867275907,4.509340387228829,20.0
-3.243412,55.934815,49.0,27.38917236945508,4.536729559598284,20.0
